ID,Fname,Lname,Email,Password,Country,State,City,Street,Zipcode,Segment
20755,Cally,Holloway,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,5365 Noble Nectar Island,725.0,Consumer
19492,Irene,Luna,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,2679 Rustic Loop,725.0,Consumer
19491,Gillian,Maldonado,XXXXXXXXX,XXXXXXXXX,United States,California,San Jose,8510 Round Bear Gate,95125.0,Consumer
19490,Tana,Tate,XXXXXXXXX,XXXXXXXXX,United States,California,Los Angeles,3200 Amber Bend,90027.0,Home Office
19489,Orli,Hendricks,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,8671 Iron Anchor Corners,725.0,Corporate
19488,Kimberly,Flowers,XXXXXXXXX,XXXXXXXXX,United States,New York,Tonawanda,2122 Hazy Corner,14150.0,Consumer
19487,Constance,Terrell,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,1879 Green Pine Bank,725.0,Home Office
19486,Erica,Stevens,XXXXXXXXX,XXXXXXXXX,United States,Florida,Miami,7595 Cotton Log Row,33162.0,Corporate
19485,Nichole,Olsen,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,2051 Dusty Route,725.0,Corporate
19484,Oprah,Delacruz,XXXXXXXXX,XXXXXXXXX,United States,California,San Ramon,9139 Blue Blossom Court,94583.0,Corporate
19483,Germane,Short,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,4058 Quiet Heights,725.0,Corporate
19482,Freya,Robbins,XXXXXXXXX,XXXXXXXXX,United States,New York,Freeport,3243 Shady Corner,11520.0,Consumer
19481,Cassandra,Jensen,XXXXXXXXX,XXXXXXXXX,United States,California,Salinas,131 Sunny Treasure Green,93905.0,Corporate
19480,Natalie,Mcfadden,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,2531 Wishing Square,725.0,Corporate
19479,Kimberley,Sharpe,XXXXXXXXX,XXXXXXXXX,United States,Massachusetts,Peabody,6417 Silver Towers,1960.0,Corporate
19478,Sade,Lancaster,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,257 Harvest Close,725.0,Corporate
19477,Brynne,Giles,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Canovanas,7342 Hazy Beacon Park,729.0,Corporate
19476,Ciara,Bird,XXXXXXXXX,XXXXXXXXX,United States,California,Paramount,7787 Lazy Corners,90723.0,Corporate
19475,Bo,Griffin,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,5136 Rustic Pioneer Estates,725.0,Consumer
19474,Kim,Simon,XXXXXXXXX,XXXXXXXXX,United States,Illinois,Mount Prospect,1723 Tawny Via,60056.0,Consumer
19473,Kellie,Farmer,XXXXXXXXX,XXXXXXXXX,United States,California,Long Beach,7111 Silent Fox Gardens,90813.0,Corporate
